Headline Word,Headline Frequency,Headline Percent
Depressingly,4,0.002007125
Depression,2,0.001003563
Deprivation,1,0.000501781
Deprive,2,0.001003563
Deprived,1,0.000501781
Depriving,1,0.000501781
Dept,10,0.005017813
Depth,1,0.000501781
Deputies,5,0.002508907
Deputy,13,0.006523157
Deradicalization,1,0.000501781
Derail,6,0.003010688
Derailing,1,0.000501781
Derailment,2,0.001003563
Derails,2,0.001003563
Deranged,1,0.000501781
Derangement,1,0.000501781
DeRay,4,0.002007125
Derby,1,0.000501781
Deregistered,1,0.000501781
Deregistering,1,0.000501781
Deregulate,5,0.002508907
Deregulation,3,0.001505344
Derek,2,0.001003563
Deride,1,0.000501781
Dermer,1,0.000501781
Derogatory,1,0.000501781
Derogatory,1,0.000501781
Dershowitz,1,0.000501781
Des,2,0.001003563
Descend,4,0.002007125
Descends,1,0.000501781
Descent,3,0.001505344
Describe,4,0.002007125
Describes,7,0.003512469
Desegregating,1,0.000501781
Desegregation,2,0.001003563
Desensitization,1,0.000501781
Desensitized,1,0.000501781
Desert,3,0.001505344
Deserve,24,0.012042752
Deserve,1,0.000501781
Deserved,5,0.002508907
Deserves,16,0.008028501
Design,3,0.001505344
design,1,0.000501781
Designates,1,0.000501781
Designation,1,0.000501781
Designed,4,0.002007125
Designs,2,0.001003563
Desire,3,0.001505344
Desired,1,0.000501781
Desk,2,0.001003563
Despair,7,0.003512469
Desperate,17,0.008530283
Desperate,1,0.000501781
Desperately,2,0.001003563
Desperation,1,0.000501781
Despicable,3,0.001505344
Despicable,2,0.001003563
Despise,1,0.000501781
Despised,1,0.000501781
Despite,86,0.043153194
Despondency,1,0.000501781
Destabilize,1,0.000501781
Destabilizing,2,0.001003563
Destroy,24,0.012042752
Destroy,2,0.001003563
Destroyed,9,0.004516032
Destroyers,1,0.000501781
Destroying,3,0.001505344
Destroys,4,0.002007125
Destruction,4,0.002007125
Destructive,4,0.002007125
Detail,6,0.003010688
Detailed,1,0.000501781
Details,34,0.017060565
Detain,4,0.002007125
Detained,19,0.009533845
Detainee,6,0.003010688
Detainees,12,0.006021376
detainees,1,0.000501781
Detaining,2,0.001003563
Detainment,1,0.000501781
Detains,1,0.000501781
Detected,2,0.001003563
Detecting,1,0.000501781
Detective,1,0.000501781
Detectors,1,0.000501781
Detente,1,0.000501781
Detention,29,0.014551658
Deter,2,0.001003563
Deteriorate,1,0.000501781
Determination,1,0.000501781
Determine,7,0.003512469
Determined,5,0.002508907
Determined,1,0.000501781
Deterred,1,0.000501781
Deterrent,2,0.001003563
Detonates,1,0.000501781
Detour,1,0.000501781
Detracts,1,0.000501781
Detroit,17,0.008530283
De-Unionized,1,0.000501781
Deutsche,2,0.001003563
Deux,1,0.000501781
Devastate,5,0.002508907
Devastated,4,0.002007125
Devastates,3,0.001505344
Devastating,7,0.003512469
Devastating,1,0.000501781
Devastation,5,0.002508907
Developed,2,0.001003563
Developer,1,0.000501781
Developing,2,0.001003563
Development,10,0.005017813
Developmental,2,0.001003563
Device,2,0.001003563
Devices,1,0.000501781
Devil,4,0.002007125
Devin,15,0.00752672
Devolution,1,0.000501781
Devolve,1,0.000501781
Devolves,2,0.001003563
DeVos,44,0.022078378
Devoted,2,0.001003563
Devout,1,0.000501781
DGAF,2,0.001003563
DHS,27,0.013548096
Di,1,0.000501781
Diabetic,1,0.000501781
Diabolical,1,0.000501781
Diagnosed,2,0.001003563
Diagnosing,2,0.001003563
Diagnosis,6,0.003010688
Dial,2,0.001003563
Dialectics,1,0.000501781
Dialogue,1,0.000501781
Diana,1,0.000501781
Dianna,1,0.000501781
Dianne,15,0.00752672
Diaper,1,0.000501781
Diary,1,0.000501781
Diaspora,3,0.001505344
Diaz,1,0.000501781
DiCaprio,2,0.001003563
Dice,1,0.000501781
Dick,25,0.012544533
Dick,1,0.000501781
Dictator,3,0.001505344
Dictators,4,0.002007125
Dictatorship,1,0.000501781
Dictionary,2,0.001003563
Did,3,0.001505344
Didlake,1,0.000501781
Didn,1,0.000501781
Die,29,0.014551658
Die,1,0.000501781
Died,20,0.010035626
DIED,1,0.000501781
Diego,5,0.002508907
Die-Hard,1,0.000501781
Diehards,1,0.000501781
Die-In,1,0.000501781
Dies,37,0.018565909
Diesel,1,0.000501781
Diet,3,0.001505344
Dietary,1,0.000501781
Differ,1,0.000501781
Difference,11,0.005519595
Differences,3,0.001505344
Different,31,0.015555221
Different,2,0.001003563
Differently,2,0.001003563
Differs,2,0.001003563
Difficult,9,0.004516032
Difficulty,1,0.000501781
Dig,12,0.006021376
Digging,2,0.001003563
Digital,6,0.003010688
Digits,2,0.001003563
Dignity,3,0.001505344
Digs,4,0.002007125
Dijon,1,0.000501781
Dilbert,1,0.000501781
Dilbert,1,0.000501781
Dildos,2,0.001003563
Dilemma,12,0.006021376
Dilettantes,1,0.000501781
Dilute,1,0.000501781
Dim,3,0.001505344
Dime,2,0.001003563
Dimed,2,0.001003563
Diminish,2,0.001003563
Dimming,1,0.000501781
Dimon,2,0.001003563
Dined,2,0.001003563
Diner,1,0.000501781
Dingell,2,0.001003563
Dingethal,1,0.000501781
Dings,3,0.001505344
Dinner,41,0.020573034
Dinosaurs,1,0.000501781
Dious,2,0.001003563
Dioxide,1,0.000501781
Dip,4,0.002007125
Diplomacy,13,0.006523157
Diplomas,1,0.000501781
Diplomat,4,0.002007125
Diplomatic,8,0.004014251
Diplomats,9,0.004516032
Dips,3,0.001505344
Dire,6,0.003010688
Direct,4,0.002007125
Directed,3,0.001505344
Direction,7,0.003512469
Directions,2,0.001003563
Directive,2,0.001003563
Directives,1,0.000501781
Directives,1,0.000501781
Directly,6,0.003010688
Directly,1,0.000501781
Director,111,0.055697727
Directors,4,0.002007125
Directory,1,0.000501781
Directs,1,0.000501781
Dirt,6,0.003010688
Dirt,1,0.000501781
Dirtier,1,0.000501781
Dirty,9,0.004516032
Dirty,1,0.000501781
DirtyDenier,3,0.001505344
Dis,1,0.000501781
Disabilities,14,0.007024939
Disability,16,0.008028501
Disabled,7,0.003512469
Disadvantaged,1,0.000501781
Disaffection,1,0.000501781
Disagree,12,0.006021376
Disagreement,1,0.000501781
Disagreements,4,0.002007125
Disagreements,1,0.000501781
Disagrees,5,0.002508907
Disappear,6,0.003010688
Disappeared,1,0.000501781
Disappearing,3,0.001505344
Disappears,2,0.001003563
Disappointed,9,0.004516032
Disappointed,4,0.002007125
Disappointing,3,0.001505344
Disappointing,1,0.000501781
Disappointment,2,0.001003563
Disappoints,1,0.000501781
Disapproval,2,0.001003563
Disarm,1,0.000501781
Disarmament,1,0.000501781
Disarmed,1,0.000501781
Disarming,2,0.001003563
Disarray,4,0.002007125
Disaster,50,0.025089066
Disaster,2,0.001003563
Disasters,5,0.002508907
Disaster-Torn,1,0.000501781
Disastrous,6,0.003010688
Disastrous,1,0.000501781
Disastrously,1,0.000501781
Disavow,2,0.001003563
Disavowed,1,0.000501781
Disavows,2,0.001003563
Disband,1,0.000501781
Disbanded,1,0.000501781
Disbands,1,0.000501781
Disbarred,1,0.000501781
Discards,1,0.000501781
Discharged,2,0.001003563
Discipline,3,0.001505344
Disciplined,5,0.002508907
Disciplining,1,0.000501781
Disclaimer,1,0.000501781
Disclose,10,0.005017813
DISCLOSE,1,0.000501781
Disclosed,2,0.001003563
Discloses,1,0.000501781
Disclosing,2,0.001003563
Disclosure,7,0.003512469
Disclosures,6,0.003010688
Disconnect,2,0.001003563
Discontent,2,0.001003563
Discontents,1,0.000501781
Discord,1,0.000501781
Discount,2,0.001003563
Discounted,3,0.001505344
Discounts,2,0.001003563
Discourage,1,0.000501781
Discouraged,1,0.000501781
Discourages,1,0.000501781
Discourse,4,0.002007125
Discourse,1,0.000501781
Discover,3,0.001505344
Discovered,2,0.001003563
Discovers,1,0.000501781
Discovery,2,0.001003563
Discredit,2,0.001003563
Discredited,3,0.001505344
Discrediting,2,0.001003563
Discriminate,6,0.003010688
Discriminated,1,0.000501781
Discriminates,2,0.001003563
Discriminating,1,0.000501781
Discrimination,49,0.024587285
Discriminatory,7,0.003512469
Discriminatory,1,0.000501781
Discuss,20,0.010035626
Discussed,6,0.003010688
Discusses,3,0.001505344
Discussing,3,0.001505344
Discussing,1,0.000501781
Discussion,5,0.002508907
Discussions,2,0.001003563
Disdain,4,0.002007125
Disease,10,0.005017813
Diseases,1,0.000501781
Disembodiment,1,0.000501781
Disenfranchise,1,0.000501781
Disenfranchised,2,0.001003563
Disenfranchisement,2,0.001003563
Disenfranchising,1,0.000501781
Disgrace,5,0.002508907
Disgrace,1,0.000501781
Disgraced,6,0.003010688
Disgraceful,2,0.001003563
Disgraceful,1,0.000501781
Disgracefulness,4,0.002007125
Disguised,1,0.000501781
Disgusted,3,0.001505344
Disgusted,1,0.000501781
Disgusting,3,0.001505344
Disgusting,2,0.001003563
Dish,1,0.000501781
Dishes,1,0.000501781
Dishonest,4,0.002007125
Dishonest,1,0.000501781
Dishonesty,1,0.000501781
Dishonor,1,0.000501781
Disinformation,2,0.001003563
Disingenuous,2,0.001003563
Disintegrates,1,0.000501781
Disinvests,1,0.000501781
Disinvite,1,0.000501781
Dis-Invite,1,0.000501781
Disinvited,1,0.000501781
Disjointed,1,0.000501781
Disjunct,1,0.000501781
Dislike,5,0.002508907
Disliked,1,0.000501781
Dislikes,1,0.000501781
Disloyal,1,0.000501781
Dismal,4,0.002007125
Dismal,1,0.000501781
Dismantle,5,0.002508907
Dismantled,1,0.000501781
Dismantles,2,0.001003563
Dismantling,6,0.003010688
Dismay,1,0.000501781
Dismiss,6,0.003010688
Dismissal,3,0.001505344
Dismissed,5,0.002508907
Dismissed,1,0.000501781
Dismisses,15,0.00752672
Disney,3,0.001505344
Disney,1,0.000501781
Disobeyed,1,0.000501781
Disorder,4,0.002007125
Disorderly,1,0.000501781
Disoriented,1,0.000501781
Disown,2,0.001003563
Disowns,1,0.000501781
Disparaged,1,0.000501781
Disparaging,1,0.000501781
Disparate,1,0.000501781
Disparities,5,0.002508907
Dispatch,2,0.001003563
Dispel,1,0.000501781
Dispensable,1,0.000501781
Dispensaries,3,0.001505344
Dispensary,1,0.000501781
Dispenses,1,0.000501781
Display,4,0.002007125
Displays,2,0.001003563
Dispute,13,0.006523157
dispute,1,0.000501781
Disputed,1,0.000501781
Disputes,3,0.001505344
Disputing,1,0.000501781
Disqualified,1,0.000501781
Disqualify,2,0.001003563
Disqualifying,2,0.001003563
Disqualifying,1,0.000501781
Disregard,1,0.000501781
disregard,1,0.000501781
Disrespect,1,0.000501781
Disrespected,1,0.000501781
Disrespectful,1,0.000501781
Disrespects,1,0.000501781
Disrobing,1,0.000501781
Disrupt,6,0.003010688
Disrupt,1,0.000501781
Disrupted,2,0.001003563
Disrupters,1,0.000501781
Disruption,1,0.000501781
Disruption,1,0.000501781
Disruptor,1,0.000501781
Diss,2,0.001003563
Dissatisfied,1,0.000501781
Dissecting,3,0.001505344
Dissent,9,0.004516032
Dissent,1,0.000501781
Dissenters,1,0.000501781
Dissidents,1,0.000501781
Dissolves,1,0.000501781
Distance,8,0.004014251
Distanced,1,0.000501781
Distances,5,0.002508907
Distancing,1,0.000501781
Distant,1,0.000501781
Distaste,2,0.001003563
Distillers,1,0.000501781
Distinction,1,0.000501781
Distinguished,1,0.000501781
Distort,1,0.000501781
Distorted,4,0.002007125
Distorting,1,0.000501781
Distorts,3,0.001505344
Distract,5,0.002508907
Distracted,4,0.002007125
Distraction,4,0.002007125
Distraction,1,0.000501781
Distractions,2,0.001003563
Distraught,1,0.000501781
Distress,1,0.000501781
Distribute,2,0.001003563
Distributed,1,0.000501781
Distributes,1,0.000501781
District,30,0.01505344
Districts,11,0.005519595
Distrust,3,0.001505344
Distrustful,1,0.000501781
Disturbance,1,0.000501781
Disturbed,1,0.000501781
Disturbing,9,0.004516032
Disturbing,2,0.001003563
Ditch,11,0.005519595
ditch,1,0.000501781
Ditched,1,0.000501781
Ditches,3,0.001505344
Ditching,1,0.000501781
Dither,1,0.000501781
Dithers,1,0.000501781
Ditka,1,0.000501781
Ditz,1,0.000501781
Diverged,1,0.000501781
Diverse,5,0.002508907
Diversity,13,0.006523157
Dives,1,0.000501781
Divest,5,0.002508907
Divestment,1,0.000501781
Divests,1,0.000501781
Divide,15,0.00752672
Divided,37,0.018565909
Divider,1,0.000501781
Divides,2,0.001003563
Dividing,2,0.001003563
Division,2,0.001003563
Divisions,10,0.005017813
Divisive,10,0.005017813
Divorce,9,0.004516032
Divorced,1,0.000501781
Dixie,2,0.001003563
Dizzy,2,0.001003563
D-Minus,1,0.000501781
DMV,1,0.000501781
DMZ,1,0.000501781
DNA,3,0.001505344
DNC,120,0.060213759
Do,18,0.009032064
DOA,1,0.000501781
Dobbs,1,0.000501781
Dobson,1,0.000501781
Doc,2,0.001003563
Dockless,1,0.000501781
Doctor,13,0.006523157
Doctored,1,0.000501781
Doctors,20,0.010035626
Doctrine,5,0.002508907
Document,14,0.007024939
Documentarian,1,0.000501781
Documentaries,1,0.000501781
Documentary,12,0.006021376
Documented,2,0.001003563
Documents,32,0.016057002
DOD,1,0.000501781
DoD,1,0.000501781
Dodd,1,0.000501781
Dodd-Frank,5,0.002508907
Dodge,8,0.004014251
Dodged,1,0.000501781
Dodgers,1,0.000501781
Dodges,17,0.008530283
Dodging,6,0.003010688
Dodgy,3,0.001505344
Doe,2,0.001003563
Does,4,0.002007125
Dog,20,0.010035626
Dogg,1,0.000501781
Dogged,1,0.000501781
Dogs,12,0.006021376
Dog-Whistle,1,0.000501781
Doing,3,0.001505344
DOJ,78,0.039138943
DOL,2,0.001003563
Dole,6,0.003010688
Doles,2,0.001003563
Dollar,2,0.001003563
Dollar-For-Dollar,1,0.000501781
Dollars,17,0.008530283
DOLLARS,1,0.000501781
Dolphins,1,0.000501781
Domain,3,0.001505344
Domestic,43,0.021576597
Domestic,1,0.000501781
Dominance,2,0.001003563
Dominant,1,0.000501781
Dominate,3,0.001505344
Dominated,3,0.001505344
Dominates,3,0.001505344
Dominating,2,0.001003563
Domination,2,0.001003563
Don,1,0.000501781
Donald,2715,1.362336294
Donald,4,0.002007125
Donalds,1,0.000501781
Donate,7,0.003512469
Donate,1,0.000501781
Donated,2,0.001003563
Donates,2,0.001003563
Donating,2,0.001003563
Donation,7,0.003512469
Donations,28,0.014049877
Done,43,0.021576597
DONE,1,0.000501781
Done,1,0.000501781
Donettes,1,0.000501781
Donna,4,0.002007125
Donnelly,2,0.001003563
Donnie,1,0.000501781
Donor,23,0.01154097
Donors,57,0.028601535
Do-Nothing,2,0.001003563
Donovan,1,0.000501781
Dont,1,0.000501781
DontTouchMyVote,1,0.000501781
Doodle,1,0.000501781
Doom,6,0.003010688
Doomed,7,0.003512469
Dooms,1,0.000501781
Doomsday,3,0.001505344
Door,26,0.013046314
Door,1,0.000501781
Doorbells,2,0.001003563
Do-Or-Die,1,0.000501781
Doors,7,0.003512469
Do-Over,1,0.000501781
Doozy,1,0.000501781
Dopey,1,0.000501781
Dorm,1,0.000501781
Dorothy,1,0.000501781
Dose,2,0.001003563
Dossier,5,0.002508907
Dots,2,0.001003563
Double,17,0.008530283
double,1,0.000501781
Double,1,0.000501781
Doubled,6,0.003010688
Double-Digit,1,0.000501781
Double-Murder,1,0.000501781
Doubles,17,0.008530283
Double-Standard,1,0.000501781
Doubling,5,0.002508907
Doubly,1,0.000501781
Doubt,18,0.009032064
Doubted,1,0.000501781
Doubtful,1,0.000501781
Doubting,1,0.000501781
Doubts,7,0.003512469
Doug,8,0.004014251
Douglass,2,0.001003563
Doulas,1,0.000501781
Dove,1,0.000501781
Dow,2,0.001003563
Dowd,1,0.000501781
Downballot,1,0.000501781
Down-Ballot,6,0.003010688
Downed,2,0.001003563
Downey,1,0.000501781
Downfall,2,0.001003563
Downgrades,1,0.000501781
Download,1,0.000501781
Downplay,3,0.001505344
Downplayed,1,0.000501781
Downplaying,1,0.000501781
Downplays,9,0.004516032
Downs,1,0.000501781
Downside,1,0.000501781
Downtowns,2,0.001003563
Downtrodden,1,0.000501781
Downward,2,0.001003563
Dozen,2,0.001003563
Dozens,12,0.006021376
DPRK,1,0.000501781
Dr.,17,0.008530283
Dracones,1,0.000501781
Draconian,1,0.000501781
Draconian,1,0.000501781
Draft,19,0.009533845
Draft,6,0.003010688
Drafted,2,0.001003563
Drafting,4,0.002007125
DraftKings,1,0.000501781
Drafts,1,0.000501781
Drag,4,0.002007125
Dragged,1,0.000501781
Dragging,1,0.000501781
Dragon,1,0.000501781
Drags,3,0.001505344
Drain,8,0.004014251
Drain,1,0.000501781
Draining,3,0.001505344
Draining,3,0.001505344
Drake,1,0.000501781
Drakeford,2,0.001003563
Drama,9,0.004516032
Drama-Free,1,0.000501781
Dramatic,10,0.005017813
Dramatically,2,0.001003563
Drapes,1,0.000501781
drastic,1,0.000501781
Draw,7,0.003512469
Drawing,4,0.002007125
Drawn,2,0.001003563
Drawn-Out,2,0.001003563
Draws,23,0.01154097
Dread,1,0.000501781
Dream,25,0.012544533
Dreamed,1,0.000501781
Dreamer,15,0.00752672
DREAMer,3,0.001505344
Dreamer,1,0.000501781
Dreamers,46,0.023081941
DREAMers,2,0.001003563
Dreamers,2,0.001003563
Dreaming,1,0.000501781
Dreams,7,0.003512469
Dreamscape,1,0.000501781
Dreamy,1,0.000501781
Drenches,1,0.000501781
Dress,5,0.002508907
Dressed,3,0.001505344
Dresses,3,0.001505344
Drew,2,0.001003563
Drexel,1,0.000501781
Dribble,2,0.001003563
Drift,1,0.000501781
Drill,2,0.001003563
Drilling,17,0.008530283
Drilling-Crazy,1,0.000501781
Drills,1,0.000501781
Drink,6,0.003010688
Drinking,12,0.006021376
Drinking,1,0.000501781
Drinks,2,0.001003563
Drips,2,0.001003563
Drive,16,0.008028501
Driven,3,0.001505344
Driver,12,0.006021376
Driverless,1,0.000501781
Drivers,10,0.005017813
Drives,5,0.002508907
Driving,16,0.008028501
Driving,1,0.000501781
Drone,18,0.009032064
Drone-Killing,1,0.000501781
Drones,11,0.005519595
Drop,34,0.017060565
Drop,1,0.000501781
Dropout,1,0.000501781
Drop-Out,1,0.000501781
Dropped,11,0.005519595
Dropping,15,0.00752672
Drops,35,0.017562346
Drought,10,0.005017813
Drought-Plagued,1,0.000501781
Drove,4,0.002007125
Droves,2,0.001003563
Drown,2,0.001003563
Drowned,2,0.001003563
Drowns,1,0.000501781
Drowsy,2,0.001003563
Drowsy,1,0.000501781
Dru,1,0.000501781
Drudge,1,0.000501781
Drug,121,0.06071554
Drug-Free,1,0.000501781
Druggie,1,0.000501781
Drugmakers,2,0.001003563
Drug-Offense,1,0.000501781
Drugs,27,0.013548096
Drug-Smuggling,1,0.000501781
Drug-Test,1,0.000501781
Drum,1,0.000501781
Drumming,1,0.000501781
Drunk,3,0.001505344
Drunken,1,0.000501781
Dry,2,0.001003563
Dual,3,0.001505344
Dub,1,0.000501781
Dubai,2,0.001003563
Dubbya,1,0.000501781
Dubious,6,0.003010688
DuBose,1,0.000501781
Ducey,1,0.000501781
Duck,11,0.005519595
Ducked,1,0.000501781
Ducking,1,0.000501781
Ducks,11,0.005519595
Duckworth,7,0.003512469
Due,18,0.009032064
Duel,2,0.001003563
Dueling,2,0.001003563
Dues,1,0.000501781
Duet,1,0.000501781
Dug,1,0.000501781
Dugongs,1,0.000501781
DUI,1,0.000501781
Duke,18,0.009032064
Dukes,1,0.000501781
Dull,1,0.000501781
Dulles,2,0.001003563
Duly,1,0.000501781
Dumb,12,0.006021376
Dumb,1,0.000501781
Dumbed,1,0.000501781
Dumber,2,0.001003563
Dumbest,5,0.002508907
Dumbfounded,1,0.000501781
Dumbing,1,0.000501781
Dummies,2,0.001003563
Dump,19,0.009533845
Dump,1,0.000501781
Dumped,2,0.001003563
Dumping,2,0.001003563
Dumps,4,0.002007125
Dumpster,2,0.001003563
Duncan,3,0.001505344
Dunderheaded,1,0.000501781
Dunham,2,0.001003563
Dunk,1,0.000501781
Dunkirk,1,0.000501781
Duo,3,0.001505344
Dupe,2,0.001003563
Duped,3,0.001505344
Dupes,1,0.000501781
Duplicity,1,0.000501781
Duran,1,0.000501781
Durbin,4,0.002007125
Durham,2,0.001003563
Dust,3,0.001505344
Dust,1,0.000501781
Duterte,5,0.002508907
Duties,2,0.001003563
Duty,9,0.004516032
Duty,1,0.000501781
DuVal,1,0.000501781
Dwarfed,2,0.001003563
Dwarfs,1,0.000501781
Dwell,1,0.000501781
DWI,1,0.000501781
Dwight,1,0.000501781
Dwindle,1,0.000501781
Dwindling,2,0.001003563
Dwyane,1,0.000501781
Dying,21,0.010537408
Dying,2,0.001003563
Dylan,2,0.001003563
Dylann,8,0.004014251
Dynamic,2,0.001003563
Dynamics,1,0.000501781
Dynasty,4,0.002007125
🌮ing-To,1,0.000501781
Dysfunction,8,0.004014251
Dysfunctional,3,0.001505344
Dystopia,2,0.001003563
Dystopian,4,0.002007125
E.,4,0.002007125
E.O,1,0.000501781
Eager,8,0.004014251
Eagle,1,0.000501781
Eagles,1,0.000501781
Ear,1,0.000501781
Earful,2,0.001003563
Earlier,3,0.001505344
Earliest,1,0.000501781
Early,57,0.028601535
Early-Morning,1,0.000501781
Early-State,1,0.000501781
Earmarks,2,0.001003563
Earn,6,0.003010688
Earned,11,0.005519595
Earnest,1,0.000501781
Earning,1,0.000501781
Earnings,2,0.001003563
Earns,2,0.001003563
Ears,4,0.002007125
Earth,11,0.005519595
Earthers,1,0.000501781
Earthquake,3,0.001505344
Earthquakes,1,0.000501781
Ease,6,0.003010688
Easier,23,0.01154097
Easiest,3,0.001505344
Easily,5,0.002508907
Easing,3,0.001505344
East,32,0.016057002
East-,1,0.000501781
Easter,2,0.001003563
Easter,1,0.000501781
Eastern,5,0.002508907
Eastwood,1,0.000501781
Easy,30,0.01505344
Easy,2,0.001003563
Eat,8,0.004014251
Eating,8,0.004014251
Eats,5,0.002508907
Eavesdropped,1,0.000501781
EB-5,1,0.000501781
Ebola,48,0.024085504
Ebolaphobia,1,0.000501781
Ebola-Stricken,1,0.000501781
Echo,1,0.000501781
Echoes,6,0.003010688
E-Cig,1,0.000501781
E-Cigarette,1,0.000501781
E-Cigarettes,2,0.001003563
Eclipse,5,0.002508907
Eclipses,1,0.000501781
E-Commerce,1,0.000501781
Economic,78,0.039138943
Economically,2,0.001003563
Economics,7,0.003512469
Economies,1,0.000501781
Economist,3,0.001505344
Economists,3,0.001505344
Economy,60,0.030106879
Ecstasy,1,0.000501781
Ecstatic,2,0.001003563
Ecuador,2,0.001003563
Ed,11,0.005519595
Eddie,2,0.001003563
Eddie,1,0.000501781
Edgar,1,0.000501781
Edge,21,0.010537408
Edges,3,0.001505344
Edgy,1,0.000501781
Edie,1,0.000501781
Edison,1,0.000501781
Edited,1,0.000501781
Editing,2,0.001003563
Edition,26,0.013046314
Editor,7,0.003512469
Editorial,13,0.006523157
Editorializing,1,0.000501781
Educate,3,0.001505344
Educated,4,0.002007125
Educates,1,0.000501781
Educating,2,0.001003563
Education,92,0.046163882
Education,2,0.001003563
Educational,1,0.000501781
Educators,3,0.001505344
Edward,10,0.005017813
Edwards,5,0.002508907
Eerie,1,0.000501781
Eerily,2,0.001003563
Eff,1,0.000501781
Effect,27,0.013548096
Effective,5,0.002508907
Effectively,4,0.002007125
Effects,4,0.002007125
Efficiency,1,0.000501781
Efficient,1,0.000501781
Effigy,1,0.000501781
Effort,60,0.030106879
effort,1,0.000501781
Efforts,32,0.016057002
Egg,3,0.001505344
Eggman,1,0.000501781
Ego,2,0.001003563
Egos,4,0.002007125
Egregious,1,0.000501781
Egress,1,0.000501781
Egypt,12,0.006021376
EgyptAir,1,0.000501781
Egyptian,1,0.000501781
Egyptian-Republican,1,0.000501781
Ehlena,1,0.000501781
Ehrenreich,1,0.000501781
Eight,8,0.004014251
Eighth,2,0.001003563
Eight-Member,1,0.000501781
Eileen,1,0.000501781
Ein,1,0.000501781
Eisenhower,4,0.002007125
Either,13,0.006523157
Eizabeth,1,0.000501781
Ejected,2,0.001003563
Ejection,1,0.000501781
Ekes,1,0.000501781
El,4,0.002007125
Elaine,5,0.002508907
Elbows,3,0.001505344
Elderly,2,0.001003563
Elderly,1,0.000501781
Elders,2,0.001003563
Eleanor,2,0.001003563
Elect,20,0.010035626
Electability,1,0.000501781
Electability,1,0.000501781
Electable,2,0.001003563
Elected,45,0.02258016
Electing,12,0.006021376
Election,501,0.251392443
Election,5,0.002508907
election,1,0.000501781
Election-,1,0.000501781
Electioneering,1,0.000501781
Election-Meddling,1,0.000501781
Elections,63,0.031612223
Elector,2,0.001003563
Electoral,39,0.019569472
Electorate,1,0.000501781
Electors,7,0.003512469
Electric,4,0.002007125
Electricity,1,0.000501781
Electrifying,1,0.000501781
Electronic,1,0.000501781
Electronically,1,0.000501781
Electronics,5,0.002508907
Electroshock,1,0.000501781
Elects,2,0.001003563
Elegant,3,0.001505344
Elegy,1,0.000501781
Element,1,0.000501781
Elementary,4,0.002007125
Elements,2,0.001003563
Elena,2,0.001003563
Elephant,4,0.002007125
Elephants,4,0.002007125
Elevate,2,0.001003563
Elevator,2,0.001003563
Eleven,1,0.000501781
Elicits,1,0.000501781
Elie,2,0.001003563
Eligibility,2,0.001003563
Eligible,5,0.002508907
Elijah,3,0.001505344
Eliminate,11,0.005519595
Eliminates,2,0.001003563
Eliminating,2,0.001003563
Elimination,3,0.001505344
Eliot,2,0.001003563
Elite,11,0.005519595
Elites,9,0.004516032
Elites,1,0.000501781
Elitism,1,0.000501781
Elitist,1,0.000501781
Elizabeth,175,0.087811732
Elizabeth,1,0.000501781
ELL,1,0.000501781
Ella,1,0.000501781
Elleithee,1,0.000501781
Ellen,3,0.001505344
Elliot,2,0.001003563
Ellison,24,0.012042752
Ellmers,1,0.000501781
Elon,6,0.003010688
Else,29,0.014551658
else,1,0.000501781
Elsewhere,4,0.002007125
Eludes,1,0.000501781
Elysium,1,0.000501781
Em,5,0.002508907
em,1,0.000501781
Email,463,0.232324753
email,1,0.000501781
E-mail,1,0.000501781
Emailgate,1,0.000501781
Emails,87,0.043654975
Emancipated,1,0.000501781
Emancipation,1,0.000501781
Emanuel,15,0.00752672
Embargo,2,0.001003563
Embarks,1,0.000501781
Embarrass,3,0.001505344
Embarrassed,4,0.002007125
Embarrassed,1,0.000501781
Embarrasses,1,0.000501781
Embarrassing,8,0.004014251
Embarrassing,4,0.002007125
Embarrassment,4,0.002007125
Embarrassment,2,0.001003563
Embassies,3,0.001505344
Embassy,9,0.004516032
Embattled,11,0.005519595
Embed,1,0.000501781
Embers,1,0.000501781
Embezzling,1,0.000501781
Emblem,1,0.000501781
Emblematic,1,0.000501781
Embodies,2,0.001003563
Embodiment,1,0.000501781
Embody,1,0.000501781
Emboldened,3,0.001505344
Emboldening,1,0.000501781
Emboldens,1,0.000501781
Embrace,15,0.00752672
Embraced,4,0.002007125
Embraced,1,0.000501781
Embraces,9,0.004516032
Embracing,6,0.003010688
Embroiled,2,0.001003563
Emerge,5,0.002508907
Emergency,42,0.021074816
Emerges,5,0.002508907
Emerging,6,0.003010688
EMILY,3,0.001505344
Eminem,1,0.000501781
Eminent,2,0.001003563
Emission,1,0.000501781
Emissions,17,0.008530283
Emma,2,0.001003563
Emmanuel,4,0.002007125
Emmys,2,0.001003563
Emmy-Winning,1,0.000501781
Emoji,1,0.000501781
Emojis,2,0.001003563
Emoluments,3,0.001505344
Emoluments,1,0.000501781
Emotion,1,0.000501781
Emotional,19,0.009533845
Emotional,1,0.000501781
Emotions,2,0.001003563
Empathizes,1,0.000501781
Empathy,6,0.003010688
Emperor,1,0.000501781
Emphasize,2,0.001003563
Emphasizes,4,0.002007125
Empire,13,0.006523157
Employed,1,0.000501781
Employee,15,0.00752672
Employees,22,0.011039189
Employer,3,0.001505344
Employers,6,0.003010688
