Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget,Cast Member,Cast Member Frequency,Director,Title Word,Title Word Frequency,Description Word,Description Word Frequency,Genres Word,Genres Frequency
Grimmerson Manor," Horror,  Thriller",31-Oct-17,USA,,,,"Directed by Rob Marchitti. With Taylor Dooley, Sasha Jackson, Vanessa Ross, Devanny Pinn. When guests are stranded in a remote hotel during a windstorm, they find themselves at the mercy of an unknown killer determined to murder every last soul.","Taylor Dooley, Sasha Jackson, Vanessa Ross, Devanny Pinn, Caitlin Hale, Bill Oberst Jr.",English,"Las Vegas, Nevada, USA",,Laurence R. Harvey,7,Rob Marchitti,shelley,1,come,81,,
Murder Miami," Horror,  Mystery,  Thriller",18-Feb-14,USA,NOT RATED,5.4,87 min,"Directed by Will Vázquez. With Joseph Myers, Caroline Gutierrez, Oscar A. Diaz, Andy Sottilare. In modern Miami, gleaming new condo skyscrapers become the backdrop to this Film Noir thriller. After several beautiful models are murdered by a disguised serial killer, a young and successful fashion photographer becomes the prime suspect. As more women are murdered, he finds himself in a race to clear his name and save his own life, and in the process, uncovers some dark secrets hidden behind ...","Joseph Myers, Caroline Gutierrez, Oscar A. Diaz, Andy Sottilare, Alexandra Adomaitis, Jocelyn Binder, Amber Coyle, David Cozzo, Daniel Dasent, Nicole Marcos, Manuel Salcedo, Christopher di Pietro, Bambi la Fleur, Roland Alvarez, Rita Barcelo",English,"Miami, Florida, USA",,Leslie Easterbrook,6,Will Vázquez,fresh,1,blood,80,,
Mumbai KM," Adventure,  Horror,  Mystery,  Thriller",17-Oct-14,India,,2.9,100 min,"Directed by Hemant Madhukar. With Karanvir Bohra, Vedita Pratap Singh, Veena Malik, Joe Debroy. On their way to a New Year's Eve party in Mumbai, a group of five friends encounter supernatural occurrences on a highway, 125 kilometres outside the city.","Karanvir Bohra, Vedita Pratap Singh, Veena Malik, Joe Debroy, Aparna Bajpai, Vije Bhatia",Hindi,India,200000000,Anthony Del Negro,6,Hemant Madhukar,m4,1,year,80,,
Hush Up Sweet Charlotte," Comedy,  Horror",16-Oct-15,USA,TV-14,6.6,95 min,"Directed by William Clift. With Mink Stole, Jesse Pepe, David Millbern, Jason Stuart. Old Charlotte Holler is about to lose everything, especially her mind.","Mink Stole, Jesse Pepe, David Millbern, Jason Stuart, Jeffery Roberson, Jeffrey Patrick Olson, Matthew Martin, J. Conrad Frank, Heklina, Elizabeth Clift, Mike Finn, Raja Gemini, Mark Sargent, Alpha Mulugeta, Ron Herman Symansky",English,,500000,Peter Barrett,6,William Clift,how,2,lee,79,,
Bunni, Horror,14-Sep-13,USA,,4.2,60 min,"Directed by Daniel Benedict. With Sara Ammons, Daniel Benedict, Johnny Bilson, Eli Blue. Following a Halloween party, an attractive girl and her friends must fight to escape the nightmarish dwelling of a twisted killer with a dark secret.","Sara Ammons, Daniel Benedict, Johnny Bilson, Eli Blue, Kent Blue, Steve Boling, Jaylynn Brice, Jovie Brice, Karen Carothers, Steve Champion, Laura Dawson, Chris Embry, Jo Lynn Embry, Cat Geary, Bronson Gregory",English,"Owensboro, Kentucky, USA",2000,David Alan Graf,6,Daniel Benedict,invoking,2,ryan,79,,
Seventy-Nine," Action,  Horror,  Mystery,  Sci-Fi,  Thriller",8-Jun-17,USA,,3.8,82 min,"Directed by Filip Maciejewicz. With Adrian Voo, Bo Linton, Athena Baumeister, Velta Moore. In an abandoned asylum, doctors carry out secret experiments on unsuspecting patients. The experiments, codenamed Limes, are designed to cure violent episodes through new methods of brainwashing and mind manipulation.","Adrian Voo, Bo Linton, Athena Baumeister, Velta Moore, Jonathan Rosenthal, Christine Springett, Kathinka van Putten, Patrick Edward Wynne, Caroline Attwood, Omar Hansen, Michael Whitton, David Neff, Russell Barry, Marilyn Redfearn, Will Leon",English,"Los Angeles, California, USA",,Jason Crowe,6,Filip Maciejewicz,suburban,2,alone,79,,
Nanabijou Tapes," Horror,  Mystery,  Thriller",15-Aug-14,USA,,7.9,80 min,"Directed by Chris Borgo. With Jeremy Siegfried, Steve Jankovic, Ryan Graham, Chris Borgo. In 2010, Four documentary filmmakers travel to Thunder Bay, Ontario, Canada in search of clues regarding the ancient myth of Nanabijou, and missing persons cases. Their journey brings them to the Sleeping Giant Provincial park, where they find themselves victims of a supernatural force. Two months later, their camcorder is found.","Jeremy Siegfried, Steve Jankovic, Ryan Graham, Chris Borgo, Patrick Chondon, Annie McGuire, Steve Cava, Stephanie Elchuk, Allison Jarvis, Nancy Toffanin",English,"Thunder Bay, Ontario, Canada",300,G. Larry Butler,6,Chris Borgo,downhill,1,around,79,,
Flaying," Fantasy,  Horror,  Thriller",17-Jul-12,Argentina,,4.9,80 min,"Directed by Nicolás Amelio-Ortiz. With Olivia Tykocki, Juan Sebastian Alvarez Windey, Celeste Subatin, Emilio Martin. Four teenage friends go on a road trip through Argentina. On their way, they find a castle left abandoned in the middle of a forest. They decide to investigate further, only to discover it's gruesome secrets and former residents.","Olivia Tykocki, Juan Sebastian Alvarez Windey, Celeste Subatin, Emilio Martin",Spanish,"Buenos Aires Province, Argentina",10000,Robin Sydney,6,Nicolás Amelio-Ortiz,team,1,forced,79,,
Bad Building, Horror,6-Aug-15,USA,NOT RATED,3,75 min,"Directed by Philip Granger. With Simone Alexander, Jimmy Breau, Kindall Charters, Bram Costello. The Desmond has stood empty for years. With a history of fires, murders and madness not even squatters will go there. But now Johnny Craig, host of 'America's Most Haunted', is going to host a prime-time special there.","Simone Alexander, Jimmy Breau, Kindall Charters, Bram Costello, Paige Farbacher, Havana Guppy, Taylor Hastings, Glenn Hoffmann, Nora Jamal, Justin Jones, Kayla Lynn Lewis, Anthony MacLean, Will E. McDonald, Yuki Morita, Heidy Rincon",English,,,Nathan Head,6,Philip Granger,wood,1,escape,79,,
Paranoia Tapes, Horror,11-Jul-17,USA,,4.7,92 min,"Directed by Chad Clinton Freeman, Amy Hesketh, Aaron Normand. With Paige Lauren Billiot, Kasey Connolly, Autumn Duncan, Nicola Fiore. From the creators of After the Dawn, L.A. Maniac, Play Hooky, and Dirty B.O. , Comes a found footage movie that will surely put you on the edge of your seats. With the inspiration of true stories, Jack Hunter's PARANOIA TAPES will send a chill down the bottom of your spine.","Paige Lauren Billiot, Kasey Connolly, Autumn Duncan, Nicola Fiore, Kelly Garni, Trae Ireland, Ava Justin, Nicole Kruex, Kelly LeBenger, Tamara Porter, Eric D. Rodriguez, Yesi Rodriguez, G. Paul Salvetti, Muhib Samad, Corey Taylor",English,,3000,Jon Campling,6,"Chad Clinton Freeman, Amy Hesketh, Aaron Normand",lost,13,high,77,,
Valentine DayZ, Horror,2017,USA,,,,"Directed by Mark Allen Michaels. With Dallas Valdez, Carrie Keagan, Robert Allen Mukes, Tatiana Romao.","Dallas Valdez, Carrie Keagan, Robert Allen Mukes, Tatiana Romao, Diane Ayala Goldner, Kate Rees Davies, Johnny White, Dan Gruenberg, Curt Lambert, Aaron Kai, Christopher Blevins, Mattison Walker, Gary D. Lopez, Buddy Clements, John J. Tierney",English,"Santa Monica, California, USA",,Jessica Ann Brownlie,6,Mark Allen Michaels,cannibal,7,student,77,,
Voodoo Possession," Drama,  Horror,  Mystery",14-Jan-14,USA,UNRATED,2.4,94 min,"Directed by Walter Boholst. With Danny Trejo, Ryan Caltagirone, Kerry Knuppe, David Thomas Jenkins. Imagine an insatiable demon that feeds on blood, thrives on pain, and reaches from beyond the grave to torment the living...and the dead. For believers and skeptics alike, there is nothing in this world or the next to rival the relentless evil of a Voodoo Possession. Burdened since childhood with a gnawing sense of guilt, cynical Aiden Chase journeys to a Haitian insane asylum in search of his ...","Danny Trejo, Ryan Caltagirone, Kerry Knuppe, David Thomas Jenkins, Treva Etienne, Tomas Boykin, Nancy La Scala, Abe Spigner, Catherine Haena Kim, Marie-Françoise Theodore, Sloane Morgan Siegel, Gabe Eggerling, Dominic Conti, Darius Devontaye Green, Ama Amoafo-Yeboah",English,"Escarpment Studios - 5610 Soto Street, Huntington Park, California, USA",,Circus-Szalewski,6,Walter Boholst,sleepwalking,2,begin,76,,
Diane," Crime,  Drama,  Horror,  Mystery,  Thriller",28-Oct-17,USA,,5.6,82 min,"Directed by Michael Mongillo. With Jason Alan Smith, Carlee Avers, Margaret Rose Champagne, Dick Boland. When a disabled war veteran discovers the dead body of a beautiful singer in his back yard, his fascination with her photographic image soon turns to obsession.","Jason Alan Smith, Carlee Avers, Margaret Rose Champagne, Dick Boland, Jim Thalman, Doug Tompos, Ryan Barry McCarthy, Davis Mikaels, Kathy Searle, Sewell Whitney, Kathrine Barnes, Bob Bannon, Daniel F. Patterson, Thomas K. Delson, Kimbette Fenol",English,"Hartford, Connecticut, USA",,Lucinda Rhodes Thakrar,6,Michael Mongillo,rizen,1,daniel,76,,
Entrance," Drama,  Horror,  Thriller",18-May-12,USA,NOT RATED,4.8,83 min,"Directed by Dallas Richard Hallam, Patrick Horvath. With Suziey Block, Karen Baird, Farley Burge, Karen Gorham. ENTRANCE is about the limits of our perception, how the things lurking on the periphery of our lives can lead to horrific conclusions; about how she fell out of love with the city, but it wouldn't let her go.","Suziey Block, Karen Baird, Farley Burge, Karen Gorham, Joshua Grote, Florence Hartigan, Bennett Jones, Liesel Kopp, Jonathan Margolis, Patrick McPheron, Morgan Phalen, Tim Wilson, Peter Wulff",English,,,Erin Marie Hogan,6,"Dallas Richard Hallam, Patrick Horvath",chinatown,1,inside,76,,
Sea Serpent," Adventure,  Horror",29-Jun-15,USA,,3.5,92 min,"Directed by Amando de Ossorio. With Timothy Bottoms, Taryn Power, Jared Martin, Ray Milland. A serpent, created by radioactivity, threatens a Spanish coastal town.","Timothy Bottoms, Taryn Power, Jared Martin, Ray Milland, Gérard Tichy, Carole James, Jack Taylor, León Klimovsky, Miguel de Grandy, Paul Benson, Charly Bravo, Víctor Israel, José Canalejas, Eduardo Bea, Teresa del Olmo",English,"Sesimbra, Setúbal, Portugal",,Sadie Katz,6,Amando de Ossorio,child,7,paranormal,75,,
Stab Knife Hunter," Comedy,  Horror,  Thriller",31-Oct-13,USA,,7.4,,"Directed by Joshua Patrick Dudley. With Joshua Patrick Dudley, Tajoura Davis, Rachel Alexandria Arnold, Stephanie Maheu. Two years have passed since the last GhostFace attack and survivor Shannon Nightingale is back on her feet in a new town. Shannon has turned her trauma into motivation and has become a successful, well-known therapist and has since retired from acting, giving up her role in the Stab series. When reports of a new GhostFace murder in New Hampshire reach Shannon, she decides to return home to stop ...","Joshua Patrick Dudley, Tajoura Davis, Rachel Alexandria Arnold, Stephanie Maheu, Patrick Stewart, Alisha Winslow, Robert Doe, Mandi Russell, Michael Benoit, Lindsey Klossner, Ryan Salvato, Bri Mckenney, Leila Bafageeh, Anthony Rainville, Cherry Clavette",English,,2500,Johnathon Schaech,6,Joshua Patrick Dudley,general,3,jessica,75,,
Westlake Nino 's Revenge, Horror,31-Oct-17,USA,,,,"Directed by Michael H Royal. With Omar Gooding, Samuel Monroe Jr., Dashun Woodard, Richard Baker. Inter city horror movie hood film drugs action and alot more","Omar Gooding, Samuel Monroe Jr., Dashun Woodard, Richard Baker, Francisco Vargas, Shavonne Martin, Jackie Huang, Jermayne Deshon Carr, Michael H Royal, Carlene Corsey, Nakea Brown, Charles Wiseman, Aman Royal, Henry Williams, Jeffrey Bryant",English,USA,10000,Manobala,6,Michael H Royal,xtinction,1,mark,75,,
Evil Returns," Drama,  Horror,  Romance",2-Nov-12,India,,4.9,124 min,"Directed by Bhushan Patel. With Vicky Ahuja, Tia Bajpai, Sharad Kelkar, Vidya Malvade. This story revolves around a famous poet who meets a woman who is in trouble. In order to treat her, he takes her to Shimla in a big hospital, but soon that woman gets possessed by devil and goes out of control. Now the question remains that what is the relation that poet shares with her which compelled him to go to any extent to save her, why she was possessed by devil and who is the devil.","Vicky Ahuja, Tia Bajpai, Sharad Kelkar, Vidya Malvade, Naresh Sharma, Aftab Shivdasani",Hindi,,,Rajendran,6,Bhushan Patel,nightwolves,1,son,75,,
," Horror,  Mystery,  Thriller",5-Jun-13,Indonesia,,6.8,,"Directed by Jose Poernomo. With Shandy Aulia, Denny Sumargo, Kartika Putri, Ki Kusumo. Desperate for a job, Naya lucked out as her best friend offers her a job as a housekeeper at a 5 star hotel by the beach. But the hotel has one strange rule : Never ever open room number 308 under any circumstance. Based on the true legend of Nyi Roro Kidul, the spirit of the Queen of the South Sea that supposedly lives in room 308 in Samudra Hotel.","Shandy Aulia, Denny Sumargo, Kartika Putri, Ki Kusumo, Sylvia Fully, Gilang Dirgahari, Kimberly Ryder, Marcell Domits, Yafi Tesa Zahara, Deasy Akmal, Firman Servia, Yuzar Nazaros, Nadira Kusuma, Winindya Chasanovri, Panji Komara",Indonesian,,,Jason David Brown,6,Jose Poernomo,coed,1,may,75,,
Eyes Diary," Horror,  Romance",30-Oct-14,Thailand,,5.4,,"Directed by Chookiat Sakveerakul. With Prama Immanothai, Focus Jirakul, Chonnikan Netjui, Kittisak Patomburana. It has been three months since Nott (Punjan) become full of sadness and suffering like he has never been. It's because that one night which cause him to lose Pla (Focus) his beloved girlfriend in the motorcycle accident. He wants to forget but cannot, his hear is full of guilt and sorrow and almost burst with grief. The only way for him to get through this is to meet Pla again in her afterlife, ...","Prama Immanothai, Focus Jirakul, Chonnikan Netjui, Kittisak Patomburana",Thai,"Chiang Mai, Thailand",,Jason Vail,6,Chookiat Sakveerakul,experiments,1,women,74,,
Deep Sleep," Horror,  Thriller",27-Oct-13,USA,NOT RATED,4.8,67 min,"Directed by Luciano Onetti. With Luciano Onetti, Daiana García, Silvia Duhalde. After murdering a woman, a killer that is traumatized from his childhood memories, gets a mysterious envelope slipped under his door. The hunter becomes the prey when he finds out that the envelope contains photos that show him killing the young woman.","Luciano Onetti, Daiana García, Silvia Duhalde",Italian,,4000,David Koechner,6,Luciano Onetti,thi,1,last,74,,
Vampire 's Tale," Horror,  Western",17-Oct-12,UK,R,3.1,,"Directed by Drew Cullingham. With Doug Bradley, Rita Ramnani, Jonnie Hurn, Natalia Celino. When a dysfunctional family moves into a remote farm terror emerges from the darkness in the form of a vampire cowboy hell bent on revenge.","Doug Bradley, Rita Ramnani, Jonnie Hurn, Natalia Celino, Grace Vallorani, James Fisher, Scott North, Yoram Halberstam, Victoria Broom, Jason Croot, Aj Williams",English,"London, England, UK",75000,Kovai Sarala,6,Drew Cullingham,nurse,2,game,73,,
My Boo, Horror,1-Apr-13,USA,,4.3,78 min,"Directed by Erica D. Hayes. With Eboni Deberry, Ashlee McLemore, Revon Yousif. Some high school crushes never die.","Eboni Deberry, Ashlee McLemore, Revon Yousif",English,,,David Gere,6,Erica D,realms,1,best,73,,
Do n't Look, Horror,2017,USA,,,71 min,"Directed by Luciana Faulhaber. With Luciana Faulhaber, Hailey Heisick, Jeff Berg, Curtis K Case. In the tradition of classic horror movies, ""Don't Look"" is the story of five friends who leave NYC for a weekend they'll never forget.","Luciana Faulhaber, Jeff Berg, Hailey Heisick, Jarrod Robbins, Lindsay Eshelman, Curtis K Case, Javier E. Gómez, Daniel Pappas, Gary Gibson, Bella Plotkin, Preston Eshelman, Cortney Bressler",English,"Pennsylvania, USA",,Ari Millen,6,Luciana Faulhaber,captured,1,thomas,73,,
Bhoot Returns," Horror,  Mystery,  Thriller",12-Oct-12,India,,2.5,85 min,"Directed by Ram Gopal Varma. With J.D. Chakravarthi, Madhu Shalini, Alayana Sharma, Nitin Jadhav. A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.","J.D. Chakravarthi, Madhu Shalini, Alayana Sharma, Nitin Jadhav, Bharat Ganeshpure, Manisha Koirala",Hindi|Telugu|Tamil,,,Orson Chaplin,6,Ram Gopal Varma,hang,1,start,73,,
Clash Dead, Horror,5-Jul-16,USA,,3.3,80 min,"Directed by Freddie Hutton-Mills, Bart Ruspoli. With Philip Barantini, Robert Bladen, Kacey Clarke, Kyle Frank. To celebrate the centenary of WW1, a TV Documentary team travels to the Somme to put together a ratings smash about new mysteries relating to the famous battle. However, what they unearth is far from a new story of those that died 100 years ago - but an army of the undead and a brand new war.","Philip Barantini, Robert Bladen, Kacey Clarke, Kyle Frank, Marco Gambino, Wendy Glenn, Ovidiu Lapusneanu, Davide Manganelli, Aidan O'Callaghan, Ray Panthaki, Ben Shafik, Eva Solveig, Samuel Vaughan, Sam Wilkinson",English,,,Shandy Aulia,6,"Freddie Hutton-Mills, Bart Ruspoli",butcher,4,human,72,,
Calling Bell, Horror,21-Mar-15,India,,,,"Directed by PannaRoyal. With Jeeva, Vriti Khanna, Kishore, Mamatha Rahuth. Newly married couple Karthik(Ravi Varma), Vyshali(Mamatha) leading their married life very happily in their villa. Suddenly Karthik realizes that she is not his wife, he is living with a ghost. Karthik with the help of Swamy(Gandhi) buried her in the garden . With out Karthik's knowledge Vishal (Naresh Kaveti) brother of Karthik and his four friends Riya(Vriti Khanna), Amar(Sankeerth), Nisha(...","Jeeva, Vriti Khanna, Kishore, Mamatha Rahuth, Ravi Verma",Telugu,"Hyderabad, Telangana, India",14000000,Addy Miller,6,PannaRoyal,spirit,2,real,72,,
Moleman Belmont Avenue," Comedy,  Horror",10-Sep-13,USA,NOT RATED,5.3,,"Directed by Mike Bradecich, John LaFlamboy. With Justin DiGiacomo, Mike Bradecich, John LaFlamboy, Nicholas Barron. The Mugg Brothers inherit an apartment building with a monster living in the basement that's eating everything in sight.","Justin DiGiacomo, Mike Bradecich, John LaFlamboy, Nicholas Barron, Cat Bernier, Brian Boland, Paul Clayton, Dana DeLorenzo, Robert Englund, Dina Facklis, Noah Gregoropoulos, Greg Hollimon, T.J. Jagodowski, Dan Jessup, Tim Kazurinsky",English,"Chicago, Illinois, USA",350000,Pablo Guisa Koestinger,6,"Mike Bradecich, John LaFlamboy",severed,1,hell,72,,
Lurking, Horror,10-Dec-15,USA,NOT RATED,6,61 min,"Directed by Rob Michels. With Shayne White. Two wasteoids go deep into the serial killer infested woods of Wisconsin to party, meanwhile bodies start to pile up around them.",Shayne White,English,"Wisconsin, USA",730,Pat Healy,6,Rob Michels,dawn,6,sinister,71,,
Dogged, Horror,2017,UK,,,116 min,"Directed by Richard Rowntree. With Jo Southwell, Debra Leigh-Taylor, Tony Manders, Richard Rowntree. When Sam returns home to the tidal island where he grew up to attend a funeral, he soon discovers that the seedy underbelly of this small community harbours more than just a few secrets.","Jo Southwell, Debra Leigh-Taylor, Tony Manders, Richard Rowntree, Caroline Holmes, Rosemary Smith, Alex Lubbock, Sam Saunders, Abigail Halley, Nadia Lamin, Toby Wynn-Davies, Ashton Bell, Aiysha Jebali, Charlotte Bourne, Gregory A. Smith",English,"Osea Island, Essex, England, UK",,Marshal Hilton,6,Richard Rowntree,october,3,comes,71,,
Elliot," Fantasy,  Horror,  Sci-Fi",2017,USA,,,,"Directed by Craig Jacobson. With Julia Berkowitz, Joshua Coffy, Geoffrey Colburn, Robert Pristine Condition Gammel. Elliot is a lonely maintenance worker inside a stark and mysterious power supply complex. His only interactions are with a supervisor named Face who communicates to Elliot via different video monitors and overhead speakers located throughout the facility. Sentries are always keeping a close eye on Elliot to make sure he stays on task. When Elliot does have a rare moment alone, he plugs into his ...","Julia Berkowitz, Joshua Coffy, Geoffrey Colburn, Robert Pristine Condition Gammel, Craig Jacobson, Stefano Lima, Matthew Macowski, Anna Muravitskaya, Phoebe Osborne, Anthony A. Russell, Cassandra Sechler, Jay Sosnicki, Rachel Toups",English,"San Francisco, California, USA",5000,Megan Hensley,6,Craig Jacobson,queen,3,missing,71,,
Den Darkness," Horror,  Thriller",20-Feb-16,USA,NOT RATED,3.4,91 min,"Directed by Sandra Lindo. With Monika Tilling, Eric Giancoli, Mackinlee Waddell, Ada Luz Pla. After moving with her husband to a new house to cope from the accident that recently blinded her, a Den Mother continues to be haunted by guilt over the death of a girl scout until the couple find a little girl living hidden in their house, revealing unthinkable dark secrets.","Monika Tilling, Eric Giancoli, Mackinlee Waddell, Ada Luz Pla, David Novak, Emily Gilliam, Mary Bonney, Danielle Lester, Lauren Manix, Asa Hope",English,,,Nadia White,6,Sandra Lindo,trey,1,each,71,,
Blind Sun," Horror,  Mystery",20-Apr-16,France,,5.6,88 min,"Directed by Joyce A. Nashawati. With Ziad Bakri, Mimi Denissi, Louis-Do de Lencquesaing, Yannis Stankoglou. Greece. Sometime in the near future. A seaside resort struck by a heavy heat wave. Water is rare and violence is mounting. Ashraf, a solitary immigrant, is looking after a villa while its owners are away. On a dusty road crushed by the sun, he is stopped by a police officer for an identity check.","Ziad Bakri, Mimi Denissi, Louis-Do de Lencquesaing, Yannis Stankoglou, Laurène Brun, Gwendoline Hamon, Yiorgos Gallos, Theodoros Kandiliotis, Andreas Marianos, Sarah Krebs, Adrian Dannatt, Vangelis Papatzanakis, Giorgos Siolas, James Velaise",French|Greek|English,,,Sid Haig,6,Joyce A,likesharefollow,1,returns,71,,
HazMat," Horror,  Thriller",11-Mar-14,USA,NOT RATED,3.8,80 min,"Directed by Lou Simon. With Norbert Velez, Aniela McGuinness, Todd Bruno, Gema Calero. Trapped inside an abandoned building, a group of friends must fight for their lives from a disturbed ax-wielding maniac.","Norbert Velez, Aniela McGuinness, Todd Bruno, Gema Calero, Giordan Diaz, Tom Stedham, Daniela Larez, Reggie Peters, Mario Nalini, Dennis Spain, Brandi Rudicil, Massiel Checo",English,"Miami, Florida, USA",,Chris Mulkey,6,Lou Simon,lighthouse,1,nightmare,71,,
La Petite Mort II," Horror,  Thriller",14-Sep-14,Germany,,3.6,90 min,"Directed by Marcel Walz. With Annika Strauss, Yvonne Wölke, Mika Metz, Micaela Schäfer. Follow the owners of the infamous ""Maison de la petite mort"" during their daily work. After the shocking events in part one, you'll never guess what the new owner Monsieur Matheo Maximè is up to. Torturing for money at it's very - worst.","Annika Strauss, Yvonne Wölke, Mika Metz, Micaela Schäfer, Gabriela Wirbel, Nicole Neukirch, Isabelle Fitzgerald, Bea La Bea, Ivana Konovic, Armin Barwich, Linda Mueller, Nicole Lauer, Kai Plaumann, Sebastian Rausenberger, Mario Zimmerschitt",German,"Frankfurt, Germany",100000,Josh Hammond,6,Marcel Walz,deacon,1,left,70,,
Hotel de Sade," Drama,  Horror,  Thriller",4-Dec-13,Taiwan,,4.3,100 min,"Directed by Oman Dhas. With Fish Chaar, Laura Kee, William Lawandi, Joanne-Marie Sim. A psychopath pimp takes revenge on a man by luring him into a depraved brothel, where a sexual paradise hides his worst nightmare.","Fish Chaar, Laura Kee, William Lawandi, Joanne-Marie Sim, Nigel Tan, Debra Teng, Vivienne Tseng",Chinese|Mandarin,,,Nihilist Gelo,6,Oman Dhas,lashman,1,show,69,,
Siyaah ..," Horror,  Thriller",15-Mar-13,Pakistan,,6.7,,"Directed by Azfar Jafri. With Ahmed Ali Akbar, Hareem Farooq, Qazi Jabbar, Sofia Wanchoo Mir. The use of black magic is prevalent in our society. There is an intricate web of conspiracies that stem from this practice.","Ahmed Ali Akbar, Hareem Farooq, Qazi Jabbar, Sofia Wanchoo Mir, Aslam Rana, Rizwana, Amy Saleh, Sarwar Salimi, Mahnoor Usman",Urdu,"Islamabad, Pakistan",,Yui Aikawa,6,Azfar Jafri,slayers,1,alex,69,,
Brutal," Action,  Drama,  Horror,  Sci-Fi,  Sport",5-Jan-14,USA,TV-MA,2.9,90 min,"Directed by Donald Lawrence Flaherty, Colin Follenweider. With Morgan Benoit, Jeff Hatch, David Mattey, Renata Green-Gaber. Abducted without explanation, two men are forced into a daily steel cage brawl testing their will to live.","Morgan Benoit, Jeff Hatch, David Mattey, Renata Green-Gaber, Stacy Jorgensen, Mario Kenyon, Christina Brooks, Collin Armstrong, Gary Backlund, Eric Bivoino, Jim Fath, Andrew Flaherty, Daniel Headecker, Michelle Kenyon, Keith Kowalczyk",English,"Central City Studio, Los Angeles, California, USA",,Michael Segal,6,"Donald Lawrence Flaherty, Colin Follenweider",ratter,1,deep,69,,
Not Zombie Movie .... Living Dead," Action,  Comedy,  Horror",31-Oct-14,USA,,5.4,79 min,"Directed by Jack Johnson, Donte Williams, Black Jack Johnson. With Jay Davis, Harold Dennis, Will Cummings III, Calvin Evans. Franklin and Mike find themselves trapped in the undead-infested Cyrene City, where they must attempt to lead a group of unconventional survivors to safety. As they join forces with the likes of a pregnant woman, a moronic arms dealer, and a mentally challenged man, they will have to determine which is worse: relying on each other or succumbing to the zombie mayhem. While this uprising of zombies...","Jay Davis, Harold Dennis, Will Cummings III, Calvin Evans, Jackie Dallas, Steven James Price, Janasia Adams, Deanna Adijun, Sean Albert, Bonniejean Alford, Abigail Almer, Nance Almer, Elizabeth Alvarado, Yesenia Betty Boop Alvarez, Patrycja Andruszewsk",English,,15000,Michael Parle,6,"Jack Johnson, Donte Williams, Black Jack Johnson",gari,1,peter,68,,
Grindsploitation Lost Reels, Horror,31-Oct-16,USA,,7.3,,"Directed by Nick Box, Mike Connors, Ramzi Abed. With Tymisha 'Tush' Harris, Wednesday Alice Edrie, Rusty Apper, Kimberly Bada. Horror exploitation anthology from twisted minds of filmmakers from across the globe.","Tymisha 'Tush' Harris, Wednesday Alice Edrie, Rusty Apper, Kimberly Bada, James Baglini, Mahfam Barikbin, Clint Beaver, Lilith Beest, Melissa Blaner, Marv Blauvelt, Scott Dezrah Blinn, Rachel Leah Blumenthal, John P. Brennan, Johanna Brüel, Sophia Cacciola",English,,,Lance E. Nichols,6,"Nick Box, Mike Connors, Ramzi Abed",goddess,1,upon,68,,
Attila," Action,  Horror,  Thriller",31-Dec-13,USA,NOT RATED,1.9,85 min,"Directed by Emmanuel Itier. With Cheick Kongo, Chris Conrad, Mikayla S. Campbell, M. Steven Felty. When American soldiers inadvertently steal Attila the Hun's secret riches, the wrath of the barbarian is awakened; the mummified warrior will stop at nothing to kill the intruders.","Cheick Kongo, Chris Conrad, Mikayla S. Campbell, M. Steven Felty, Phillip Andre Botello, Xin Sarith Wuku, Poncho Hodges, Steve Hanks, Andria Kozica, J. Kristopher, Emmanuel Itier, Roxanna Bina, Bill Voorhees, Tre Ryan, Matt Kriger",English,"Los Angeles, California, USA",,Clint Howard,6,Emmanuel Itier,book,6,living,67,,
Hitler Lives, Horror,1-Jun-17,USA,,,,"Directed by Stuart Rowsell. With Morte, Chris Sadrinna, Jay Katz, John Boxer. 'HITLER LIVES!' sets the stage with the escape of Hitler to Antarctica after the end of WWII, however not all goes to plan and Hitler is secured away in a bunker in Adelaide. Dr Mengele has procured a drug of Alien based immortality that will see to the rise of a New World Order. Over time Hitler is forgotten however and left to rot in the bunker as world politic expands into the 'global ...","Morte, Chris Sadrinna, Jay Katz, John Boxer, Herbert Peppard",English,,150000,Michael Madsen,6,Stuart Rowsell,tomahawk,1,movie,67,,
Billy 's Got Bad Brain," Comedy,  Horror,  Sci-Fi",15-Oct-17,USA,NOT RATED,,76 min,"Directed by Tony Gaud. With Jennifer Ashley Snow, Helen Keaney, Marvin Laviolette, Tony Gaud. Billy's got a bad brain - and he's not afraid to use it.","Jennifer Ashley Snow, Helen Keaney, Marvin Laviolette, Tony Gaud, Aniria Turney, John Jacobs, Lynn Single, Jim Quinlan, Ty-Tiana Stephens, Jeff Lluis, Kobe Stephens, Amanda Stewart, Clark Brooks, Ashley Mostoller, Rio Paris",,"Tampa, Florida, USA",,George Stover,6,Tony Gaud,muscle,1,reality,67,,
